PB_Obj;PB_Longi;PB_Latid;PB_Link10;PB_Den10;PB_Pob10;PB_UHecta;PB_Upobla;PB_UMen18;PB_UPEA65;PB_UMay65;PB_Uinmig;PB_RCHect;PB_UDenHo;PB_UHogar;PB_UDenNBIH;PB_UNBIH;PB_UDenNBI;PB_UNBI;GN_AuUni;GN_AuTra;GN_AuT1;GN_AuT2;GN_AuT3;GN_AuT4;GN_AuT5;GN_AuT6;GN_AuT7;GN_AuT8;GN_AuT9;GN_Secto;GN_SecNo;GN_SecSu;GN_AuKm2;GN_DsAu;GN_Ds100;GN_DsAuI;GN_AuFra;GN_AuFra1;GN_AuFra2;GN_AuFra3;GN_AuFra4;GN_DsAve;GN_DsSub;GN_DsEVe;GN_DsAcc;GN_DenPC;GN_EVeAm;RU_Id;RU_NDbaM;RU_NDbaX;RU_DDbaM;RU_DDbaX;RU_IdAu;RU_Ds;RU_DsInv;RU_Accio;RU_Reloc;RU_Aisla;RU_Prote;BA_Id;BA_Ds;BA_DsInv;BA_TBAu;BA_CPasan;BA_CCorta;BA_TVia;BA_SentVi;BA_TrPub;BA_IdTra;BA_NomTra;BA_TraAl;BA_TraMe;BA_TraBa;QR_PrAmb;QR_EsPub;QR_Total;QR_DenHa;RS_ResM2;RS_ComM2;RS_SAcM2;RS_AutM2;RS_OtrM2;RS_TotM2;RS_Mix;RS_ResCou;RS_ComCou;RS_SAcCou;RS_AutCou;RS_OtrCou;RS_TotCou;USM2_16;USM2_17;USM2_18;USM2_Tot;DL_2016;DL_2017;DL_2018;DL_HurPer;DL_HurAut;DL_RobPer;DL_Total;DL_Pr2016;DL_Pr2017;DL_Pr2018;DL_PrHurPer;DL_PrHurAut;DL_PrRobPer;DL_PrTotal
327;103489,0;99214,1;20072404,000;91,681;1036,000;1,670;153,119;30,299;99,173;23,648;13,306;11,295;33,555;56,041;0,178;0,297;2,832;4,730;327;6;0;0;0;0;0;1;0;0;0;SUR;0;1;0,01670122;827,94250095800;900,000;0,00120781334;1;1;0;0;0;65,80699963490;1045,00540065000;1270,22193920000;849,86047688300;1,00000000000;0;326,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;646,00000000000;689;0,0015;Proteger;0;0;1;46,00000000000;837,63974261000;0,00119383065;Calle pasante;1;0;Avenida;Doble;1;2,000000;Alta;1,000000;0,000000;0,000000;1,000000;22,000000;23,000000;24,442083;8730;576;630;1538;2774;14245;27,6;35;4;4;12;10;65;1857,14;0;1820,46;1832,686667;13;6;9;5;2;21;28;0,084901193;0,039185166;0,058777749;0,032654305;0,013061722;0,137148081;0,182864108
328;102354,4;99215,6;20072001,000;154,697;1021,000;1,772;274,110;55,842;174,507;43,761;23,080;6,600;57,578;102,023;0,455;0,806;1,215;2,153;328;7;0;0;0;0;0;0;1;0;0;SUR;0;1;0,01771916;548,39598441500;600,000;0,00182349986;1;1;0;0;0;105,92520538300;720,56256993400;181,66934495400;802,87814087300;0,00000000000;0;327,00000000000;66,19331000000;71,19331000000;71,19331000000;76,19331000000;491,00000000000;385;0,0026;Proteger;0;0;1;64,00000000000;555,73271824100;0,00179942618;Calle pasante;1;0;Calle;Sencillo;1;1,000000;Media;0,000000;1,000000;0,000000;11,000000;34,000000;45,000000;16,816772;10870;779;133;4242;482;16504;34,5;44;9;1;21;2;77;0;2478,721667;2244,97381;2296,917778;10;7;9;2;3;21;26;0,036481692;0,025537184;0,032833523;0,007296338;0,010944508;0,076611553;0,094852399
329;103546,9;99264,7;20072404,000;91,681;1036,000;0,050;4,593;0,909;2,975;0,709;0,399;11,295;33,555;1,681;0,178;0,009;2,832;0,142;329;6;0;0;0;0;0;1;0;0;0;SUR;0;1;0,00050097;786,32632701400;800,000;0,00127173664;1;1;0;0;0;4,46351313442;1004,70333120000;1252,37215333000;843,36801933500;1,00000000000;0;328,00000000000;70,00000000000;75,00000000000;75,00000000000;80,00000000000;693,00000000000;671;0,0015;Proteger;0;0;1;46,00000000000;796,87134867400;0,00125490771;Calle pasante;1;0;Avenida;Doble;1;2,000000;Alta;1,000000;0,000000;0,000000;1,000000;22,000000;23,000000;24,442083;0;0;0;0;0;0;0;0;0;0;0;0;0;1857,14;0;1820,46;1832,686667;0;0;0;0;0;0;0;0;0;0;0;0;0;0
330;101335,5;99240,1;20071206,000;82,155;755,000;0,653;53,606;10,863;33,371;9,372;5,682;9,184;32,882;21,456;0,000;0,000;0,000;0,000;330;9;0;0;0;0;0;0;0;0;1;NORTE;1;0;0,00652504;21,73854428570;100,000;0,04600124032;2;0;1;0;0;31,14143617200;144,66813602400;185,88779279500;407,27484393700;3,00000000000;0;329,00000000000;76,19331000000;81,19331000000;81,19331000000;86,19331000000;329,00000000000;0;0,0000;Aislar;0;1;0;66,00000000000;63,83267094000;0,01566595891;Calle pasante;1;0;Calle;Doble;1;1,000000;Media;0,000000;1,000000;0,000000;0,000000;9,000000;9,000000;8,349569;2150;0;0;203;0;2353;3,5;5;0;3;2;1;11;0;1595,74;2132,355;1864,0475;3;1;0;1;0;3;4;0,055963737;0,018654579;0;0,018654579;0;0,055963737;0,074618317
331;101496,9;99189,4;20071206,000;82,155;755,000;1,811;148,815;30,157;92,640;26,018;15,774;9,184;32,882;59,563;0,000;0,000;0,000;0,000;331;9;0;0;0;0;0;0;0;0;1;SUR;0;1;0,01811403;52,29591981840;100,000;0,01912195069;2;0;1;0;0;60,66791957400;303,68296178600;87,27446576060;559,06925734900;1,00000000000;0;330,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;330,00000000000;0;0,0000;Proteger;0;0;1;65,00000000000;89,29846004880;0,01119840140;Calle pasante;1;0;Avenida;Doble;1;2,000000;Alta;1,000000;0,000000;0,000000;1,000000;11,000000;12,000000;3,928759;1909;0;0;372;66;2346;10,1;11;0;0;5;10;26;0;1595,74;2132,355;1864,0475;10;2;5;3;0;14;17;0,067197545;0,013439509;0,033598773;0,020159264;0;0,094076563;0,114235827
332;100662,2;99238,3;20071311,000;137,112;750,000;0,432;59,270;11,933;37,933;9,404;3,870;5,467;46,282;20,006;0,185;0,080;0,185;0,080;332;9;0;0;0;0;0;0;0;0;1;NORTE;1;0;0,00432276;170,61981956200;200,000;0,00586098381;2;0;1;0;0;17,53164381990;473,99345129100;333,00426068200;170,61981956200;0,00000000000;0;331,00000000000;66,60723700000;71,60723700000;71,60723700000;76,60723700000;285,00000000000;62;0,0161;Aislar;0;1;0;72,00000000000;192,09939790300;0,00520563839;Calle pasante;1;0;Avenida;Sencillo;0;1,000000;Media;0,000000;1,000000;0,000000;0,000000;25,000000;25,000000;52,509977;2721;0;0;559;0;3280;14,3;22;0;0;11;0;33;2000;2201,97;2193,741429;2166,466923;6;3;2;2;2;7;11;0,101231732;0,050615866;0,033743911;0,033743911;0,033743911;0,118103687;0,185591509
333;102077,4;99252,3;20072110,000;453,234;911,000;0,736;333,655;53,839;217,919;61,896;34,066;2,006;187,460;138,001;0,000;0,000;0,994;0,731;333;8;0;0;0;0;0;0;0;1;0;SUR;0;1;0,00736164;354,84980593300;400,000;0,00281809369;1;1;0;0;0;42,11788901330;568,47548847100;50,30651859290;928,91289337300;1,00000000000;1;332,00000000000;66,60723700000;71,60723700000;71,51133100000;76,51133100000;491,00000000000;275;0,0036;Proteger;0;0;1;64,00000000000;416,86565614500;0,00239885437;Calle pasante;1;0;Calle;Sencillo;1;1,000000;Media;0,000000;1,000000;0,000000;11,000000;34,000000;45,000000;16,816772;24727;1699;954;1484;918;29780;19,6;14;16;9;4;4;47;0;2169,195;2622,7;2320,363333;3;0;14;4;0;13;17;0,008991333;0;0,041959556;0,011988445;0;0,038962445;0,050950889
334;104097,1;99259,8;20052210,000;170,916;858,000;0,954;162,972;38,749;104,849;19,374;21,463;5,016;59,006;56,264;1,994;1,902;6,579;6,273;334;5;0;0;0;0;1;0;0;0;0;SUR;0;1;0,00953520;864,48335466600;900,000;0,00115676027;1;1;0;0;0;222,73462232200;822,50984300700;729,94878796100;864,48335466600;1,00000000000;0;333,00000000000;66,51133100000;71,51133100000;71,51133100000;76,51133100000;712,00000000000;742;0,0013;Proteger;0;0;1;41,00000000000;886,79602427900;0,00112765503;Calle pasante;1;0;Calle;Sencillo;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;10,000000;10,000000;7,748935;5101;0;373;1295;0;6764;19;29;0;3;16;0;48;0;0;1650;1650;9;4;12;7;3;15;25;0,055224153;0,024544068;0,073632204;0,042952119;0,018408051;0,092040255;0,153400425
335;103128,3;99251,2;20072406,000;142,339;1059,000;0,865;123,105;27,202;78,350;17,553;15,807;7,438;49,882;43,141;0,539;0,466;1,746;1,510;335;6;0;0;0;0;0;1;0;0;0;SUR;0;1;0,00864871;678,96346337000;700,000;0,00147283330;1;1;0;0;0;283,89456917900;983,68781422600;907,61400974200;678,96346337000;0,00000000000;0;334,00000000000;66,60723700000;71,60723700000;71,51133100000;76,51133100000;638,00000000000;560;0,0018;Proteger;0;0;1;49,00000000000;742,31492868500;0,00134713713;Calle pasante;1;0;Calle;Sencillo;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;50,000000;50,000000;30,915724;6087;319;417;1118;601;8536;18,1;24;3;5;10;3;45;0;1977,885;2019,563846;2009,757059;7;8;5;3;3;14;20;0,056862233;0,064985409;0,040615881;0,024369528;0,024369528;0,113724466;0,162463523
336;99568,5;99218,5;20071401,000;121,076;833,000;2,002;242,400;48,014;160,921;33,465;30,858;6,879;45,503;91,100;0,291;0,583;4,073;8,153;336;9;0;0;0;0;0;0;0;0;1;NORTE;1;0;0,02002058;902,63812488000;1000,000;0,00110786369;3;0;0;1;0;67,12837858800;639,87281231200;410,52175671700;1111,01863206000;1,00000000000;0;335,00000000000;71,51133100000;76,51133100000;76,51133100000;81,51133100000;80,00000000000;836;0,0012;Proteger;0;0;1;85,00000000000;918,25143770200;0,00108902634;Calle pasante;1;0;Calle;Sencillo;0;0,000000;Baja;0,000000;0,000000;1,000000;0,000000;11,000000;11,000000;13,248224;11177;658;870;3081;930;16713;27,6;36;5;3;21;3;68;0;2313,726667;2349,776842;2344,860909;3;15;7;6;2;17;25;0,012376221;0,061881106;0,028877849;0,024752442;0,008250814;0,07013192;0,103135177
